Question;Options;Correct;Selected
En GPU (Graphics Processing Unit) lämpar sig bäst för utförandet av program och beräkningar med egenskapen/-erna ____ ?;i. Task Parallelism.|iii. Data Parallelism.|iv. Synchronization-Heavy.|ii. Distributed Parallelism.;iii. Data Parallelism.;
Respektive arbetsenhets (eng. Work Item) unika ID sett till hela sessionen med arbetsenheter, fås fram genom den interna funktionen (eng. Intrinsic) _____ ?;iii. get_total_id()|ii. get_global_id()|i. get_local_id()|iv. get_thread_id();ii. get_global_id();
De olika principer för parallell programmering som stöds av ramverket Task Parallel Library (TPL) är _____ ?;i. Embarrasing Parallelism.|iv. Data Parallelism.|ii. Distributed Parallelism.|iii. Task Parallelism.;iv. Data Parallelism.|iii. Task Parallelism.;
"Om man vill reducera sin datamängd genom att exempelvis addera ett antal värden
till en summa, så kan funktionen ____ i ramverket MPI användas?";i. MPI_Reduction().|iv. MPI_Add().|iii. MPI_Summarize().|ii. MPI_Reduce().;ii. MPI_Reduce().;
Begreppet ______ är relaterade till lokala system som använder fler än en typ av processorer eller processorkärnor som kan exekveras parallellt?;i. Distributed Computing.|iv. Patogeneous Computing.|ii. Homogeneous Computing.|iii. Heterogeneous Computing.;iii. Heterogeneous Computing.;
Minnestyperna ________ ingår som användbara inom ramverket OpenCL ?;ii. Private memory|iv. Local memory|i. Public memory|iii. Global memory;ii. Private memory|iv. Local memory|iii. Global memory;
En specifik körande instans av en kernel som har startats på GPU med CUDA, kan ta reda på vilken global identitet som instansen har genom uttrycket  _____ ?;iii. blockIdx.x + threadIdx.x * threadDim.x|ii. threadIdx.x + blockIdx.x * gridDim.x|i. threadIdx.x + blockIdx.x * blockDim.x|iv. blockIdx.x + threadIdx.x * gridDim.x;i. threadIdx.x + blockIdx.x * blockDim.x;
Trådar som exekveras inom ramverket CUDA har möjligheten/-erna att kunna ______ som inte är möjligt för vanliga parallella block?;ii. Kommunicera inbördes.|iv. Synkronisera inbördes.|iii. Använda matematiska operationer.|i. Modifiera innehåll i minne.;ii. Kommunicera inbördes.|iv. Synkronisera inbördes.;
Non-Blocking Synchronization är en kategori av egenskaper och mekanismer för synkronisering, och kan delas in i underkategorierna _____ ?;iv. Semaphore Synchronization.|i. Lock-Free Synchronization.|ii. Mutual-Exclusion Synchronization.|iii. Wait-Free Synchronization.;i. Lock-Free Synchronization.|iii. Wait-Free Synchronization.;
En huvudanledning till att det är nödvändigt att parallellisera program för att de skall kunna exekveras allt snabbare i framtiden är att  _____ ?;De enskilda trådarnas minne annars inte räcker till hela programmet.|Antalet transistorer i en enskild mikroprocessor ökar med tiden.|Strömförbrukningen ökar dramatiskt med högre klockfrekvenser.|Processorernas kärnor blir inte signifikant mycket snabbare längre.;Strömförbrukningen ökar dramatiskt med högre klockfrekvenser.|Processorernas kärnor blir inte signifikant mycket snabbare längre.;
