Question;Options;Correct;Selected
En GPU (Graphics Processing Unit) lämpar sig bäst för utförandet av program och beräkningar med egenskapen/-erna ____ ?;iv. Synchronization-Heavy.|ii. Distributed Parallelism.|iii. Data Parallelism.|i. Task Parallelism.;iii. Data Parallelism.;
Begreppet ______ är relaterade till lokala system som använder fler än en typ av processorer eller processorkärnor som kan exekveras parallellt?;iii. Heterogeneous Computing.|iv. Patogeneous Computing.|ii. Homogeneous Computing.|i. Distributed Computing.;iii. Heterogeneous Computing.;
Trådar som exekveras inom ramverket CUDA har möjligheten/-erna att kunna ______ som inte är möjligt för vanliga parallella block?;ii. Kommunicera inbördes.|iv. Synkronisera inbördes.|iii. Använda matematiska operationer.|i. Modifiera innehåll i minne.;ii. Kommunicera inbördes.|iv. Synkronisera inbördes.;
För att säkerställa att alla trådar har passerat en viss kod-rad innan de går vidare, används i CUDA funktionen __syncthreads() som är en form av ______ ?;iv. Cache.|ii. Barrier.|iii. Memory.|i. Buffer.;ii. Barrier.;
Eftersom olika grafikkort kan ha olika arkitekturer och även andra egenskaper som skiljer dem emellan, så har CUDA indelat egenskaperna i grupper kallad ______ ?;iv. NVidia Power.|iii. Parallel Capability.|i. Processing Power.|ii. Compute Capability.;ii. Compute Capability.;
En specifik körande instans av en kernel som har startats på GPU med CUDA, kan ta reda på vilken global identitet som instansen har genom uttrycket  _____ ?;i. threadIdx.x + blockIdx.x * blockDim.x|iii. blockIdx.x + threadIdx.x * threadDim.x|ii. threadIdx.x + blockIdx.x * gridDim.x|iv. blockIdx.x + threadIdx.x * gridDim.x;i. threadIdx.x + blockIdx.x * blockDim.x;
Ramverket OpenCL ställer krav på att samtliga fysiska enheter som är kompatibla skall stödja beräkningar med egenskapen _____ ?;ii. Distributed Parallelism.|i. Task Parallelism|iii. Data Parallelism.|iv. Synchronization-Heavy.;iii. Data Parallelism.;
I normalfallet så behöver en körning av en kernel förberedas i OpenCL genom  ______ , som görs explicit i run-time i huvudprogrammet ?;iv. Uppvärmning av berörda beräkningskärnor (eng. Cores).|i. Kompilering av källkod|ii. Överföring av binärkod från Host till Device|iii. Kopiering av data från Host till Device;iii. Kopiering av data från Host till Device|i. Kompilering av källkod;
Minnestyperna ________ ingår som användbara inom ramverket OpenCL ?;i. Public memory|iii. Global memory|ii. Private memory|iv. Local memory;iv. Local memory|iii. Global memory|ii. Private memory;
Respektive arbetsenhets (eng. Work Item) unika ID sett till hela sessionen med arbetsenheter, fås fram genom den interna funktionen (eng. Intrinsic) _____ ?;i. get_local_id()|iii. get_total_id()|iv. get_thread_id()|ii. get_global_id();ii. get_global_id();
